,,PLC -> PC,,,,,,PLC <- PC,,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,,
M12F ,M32F ,M,12F,207,,,207,M,32F,527,,,
M130 I/F LAMP 1,M330 ,M,130,208,I/F LAMP 1,FOR LOG,208,M,330,528,,,
M131 I/F LAMP 2,M331 ,M,131,209,I/F LAMP 2,FOR LOG,209,M,331,529,,,
M132 I/F LAMP 3,M332 ,M,132,210,I/F LAMP 3,FOR LOG,210,M,332,530,,,
M133 I/F LAMP 4,M333 ,M,133,211,I/F LAMP 4,FOR LOG,211,M,333,531,,,
M134 I/F LAMP 5,M334 ,M,134,212,I/F LAMP 5,FOR LOG,212,M,334,532,,,
M135 I/F LAMP 6,M335 ,M,135,213,I/F LAMP 6,FOR LOG,213,M,335,533,,,
M136 I/F LAMP 7,M336 ,M,136,214,I/F LAMP 7,FOR LOG,214,M,336,534,,,
M137 I/F LAMP 8,M337 ,M,137,215,I/F LAMP 8,FOR LOG,215,M,337,535,,,
M138 WORK DETECT LAMP 1,M338 ,M,138,216,WORK DETECT LAMP 1,FOR LOG,216,M,338,536,,,
M139 WORK DETECT LAMP 2,M339 ,M,139,217,WORK DETECT LAMP 2,FOR LOG,217,M,339,537,,,
M13A WORK DETECT LAMP 3,M33A ,M,13A,218,WORK DETECT LAMP 3,FOR LOG,218,M,33A,538,,,
M13B WORK DETECT LAMP 4,M33B ,M,13B,219,WORK DETECT LAMP 4,FOR LOG,219,M,33B,539,,,
M13C WORK DETECT LAMP 5,M33C ,M,13C,220,WORK DETECT LAMP 5,FOR LOG,220,M,33C,540,,,
M13D WORK DETECT LAMP 6,M33D ,M,13D,221,WORK DETECT LAMP 6,FOR LOG,221,M,33D,541,,,
M13E WORK DETECT LAMP 7,M33E ,M,13E,222,WORK DETECT LAMP 7,FOR LOG,222,M,33E,542,,,
M13F WORK DETECT LAMP 8,M33F ,M,13F,223,WORK DETECT LAMP 8,FOR LOG,223,M,33F,543,,,
M140 CYCLE TIME 2^0,M340 ,M,140,224,CYCLE TIME 2^0,,224,M,340,544,,,
M141 CYCLE TIME 2^1,M341 ,M,141,225,CYCLE TIME 2^1,,225,M,341,545,,,
M142 CYCLE TIME 2^2,M342 ,M,142,226,CYCLE TIME 2^2,,226,M,342,546,,,
M143 CYCLE TIME 2^3,M343 ,M,143,227,CYCLE TIME 2^3,,227,M,343,547,,,
M144 CYCLE TIME 2^4,M344 ,M,144,228,CYCLE TIME 2^4,,228,M,344,548,,,
M145 CYCLE TIME 2^5,M345 ,M,145,229,CYCLE TIME 2^5,,229,M,345,549,,,
M146 CYCLE TIME 2^6,M346 ,M,146,230,CYCLE TIME 2^6,,230,M,346,550,,,
M147 CYCLE TIME 2^7,M347 ,M,147,231,CYCLE TIME 2^7,,231,M,347,551,,,
M148 CYCLE TIME 2^8,M348 ,M,148,232,CYCLE TIME 2^8,,232,M,348,552,,,
M149 CYCLE TIME 2^9,M349 ,M,149,233,CYCLE TIME 2^9,,233,M,349,553,,,
M14A CYCLE TIME 2^10,M34A ,M,14A,234,CYCLE TIME 2^10,,234,M,34A,554,,,
M14B CYCLE TIME 2^11,M34B ,M,14B,235,CYCLE TIME 2^11,,235,M,34B,555,,,
M14C CYCLE TIME 2^12,M34C ,M,14C,236,CYCLE TIME 2^12,,236,M,34C,556,,,
M14D CYCLE TIME 2^13,M34D ,M,14D,237,CYCLE TIME 2^13,,237,M,34D,557,,,
M14E CYCLE TIME 2^14,M34E ,M,14E,238,CYCLE TIME 2^14,,238,M,34E,558,,,
M14F CYCLE TIME 2^15,M34F ,M,14F,239,CYCLE TIME 2^15,,239,M,34F,559,,,
M150 비상정지에러,M350 ITEM 1 -NG,M,150,240,비상정지에러,,240,M,350,560,ITEM 1 -NG,,
M151 메인에어압력이상에러,M351 ITEM 1 -OK,M,151,241,메인에어압력이상에러,,241,M,351,561,ITEM 1 -OK,,
M152 원점복귀이상에러,M352 ITEM 1 OK,M,152,242,원점복귀이상에러,,242,M,352,562,ITEM 1 OK,,
M153 PC통신이상에러,M353 ITEM 1 +OK,M,153,243,PC통신이상에러,,243,M,353,563,ITEM 1 +OK,,
M154 측정 AMP통신에러,M354 ITEM 1 +NG,M,154,244,측정 AMP통신에러,,244,M,354,564,ITEM 1 +NG,,
