,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M075 MANU-SOL 27 ACT,M275 ,M,075,117,MANU-SOL 27 ACT,ACT,,M,275,437,,
M076 MANU-SOL 28 HOME,M276 ,M,076,118,MANU-SOL 28 HOME,HOME,,M,276,438,,
M077 MANU-SOL 28 ACT,M277 ,M,077,119,MANU-SOL 28 ACT,ACT,,M,277,439,,
M078 MANU-SOL 29 HOME,M278 ,M,078,120,MANU-SOL 29 HOME,HOME,,M,278,440,,
M079 MANU-SOL 29 ACT,M279 ,M,079,121,MANU-SOL 29 ACT,ACT,,M,279,441,,
M07A MANU-SOL 30 HOME,M27A ,M,07A,122,MANU-SOL 30 HOME,HOME,,M,27A,442,,
M07B MANU-SOL 30 ACT,M27B ,M,07B,123,MANU-SOL 30 ACT,ACT,,M,27B,443,,
M07C MANU-SOL 31 HOME,M27C ,M,07C,124,MANU-SOL 31 HOME,HOME,,M,27C,444,,
M07D MANU-SOL 31 ACT,M27D ,M,07D,125,MANU-SOL 31 ACT,ACT,,M,27D,445,,
M07E MANU-SOL 32 HOME,M27E ,M,07E,126,MANU-SOL 32 HOME,HOME,,M,27E,446,,
M07F MANU-SOL 32 ACT,M27F ,M,07F,127,MANU-SOL 32 ACT,ACT,,M,27F,447,,
M080 MANU-SOL 33 HOME,M280 ,M,080,128,MANU-SOL 33 HOME,HOME,,M,280,448,,
M081 MANU-SOL 33 ACT,M281 ,M,081,129,MANU-SOL 33 ACT,ACT,,M,281,449,,
M082 MANU-SOL 34 HOME,M282 ,M,082,130,MANU-SOL 34 HOME,HOME,,M,282,450,,
M083 MANU-SOL 34 ACT,M283 ,M,083,131,MANU-SOL 34 ACT,ACT,,M,283,451,,
M084 MANU-SOL 35 HOME,M284 ,M,084,132,MANU-SOL 35 HOME,HOME,,M,284,452,,
M085 MANU-SOL 35 ACT,M285 ,M,085,133,MANU-SOL 35 ACT,ACT,,M,285,453,,
M086 MANU-SOL 36 HOME,M286 ,M,086,134,MANU-SOL 36 HOME,HOME,,M,286,454,,
M087 MANU-SOL 36 ACT,M287 ,M,087,135,MANU-SOL 36 ACT,ACT,,M,287,455,,
M088 MANU-SOL 37 HOME,M288 ,M,088,136,MANU-SOL 37 HOME,HOME,,M,288,456,,
M089 MANU-SOL 37 ACT,M289 ,M,089,137,MANU-SOL 37 ACT,ACT,,M,289,457,,
M08A MANU-SOL 38 HOME,M28A ,M,08A,138,MANU-SOL 38 HOME,HOME,,M,28A,458,,
M08B MANU-SOL 38 ACT,M28B ,M,08B,139,MANU-SOL 38 ACT,ACT,,M,28B,459,,
M08C MANU-SOL 39 HOME,M28C ,M,08C,140,MANU-SOL 39 HOME,HOME,,M,28C,460,,
M08D MANU-SOL 39 ACT,M28D ,M,08D,141,MANU-SOL 39 ACT,ACT,,M,28D,461,,
M08E MANU-SOL 40 HOME,M28E ,M,08E,142,MANU-SOL 40 HOME,HOME,,M,28E,462,,
M08F MANU-SOL 40 ACT,M28F ,M,08F,143,MANU-SOL 40 ACT,ACT,,M,28F,463,,
M090 ,M290 ,M,090,144,,,,M,290,464,,
M091 ,M291 ,M,091,145,,,,M,291,465,,
M092 ,M292 ,M,092,146,,,,M,292,466,,
M093 ,M293 ,M,093,147,,,,M,293,467,,
M094 ,M294 ,M,094,148,,,,M,294,468,,
M095 ,M295 ,M,095,149,,,,M,295,469,,
M096 ,M296 ,M,096,150,,,,M,296,470,,
M097 ,M297 ,M,097,151,,,,M,297,471,,
M098 ,M298 ,M,098,152,,,,M,298,472,,
M099 ,M299 ,M,099,153,,,,M,299,473,,
M09A ,M29A ,M,09A,154,,,,M,29A,474,,
M09B ,M29B ,M,09B,155,,,,M,29B,475,,
M09C ,M29C ,M,09C,156,,,,M,29C,476,,
M09D ,M29D ,M,09D,157,,,,M,29D,477,,
M09E ,M29E ,M,09E,158,,,,M,29E,478,,
M09F ,M29F ,M,09F,159,,,,M,29F,479,,
M100 ,M300 ,M,100,160,,,,M,300,480,,
M101 ,M301 ,M,101,161,,,,M,301,481,,
M102 ,M302 ,M,102,162,,,,M,302,482,,
M103 ,M303 ,M,103,163,,,,M,303,483,,
M104 ,M304 ,M,104,164,,,,M,304,484,,
M105 ,M305 ,M,105,165,,,,M,305,485,,
M106 ,M306 ,M,106,166,,,,M,306,486,,
